,Feature value,Feature name,Type
0,29.846191,peak,PD
1,21.194458,peak,PD
2,23.666382,peak,PD
3,19.943237,peak,PD
4,23.742676,peak,PD
5,20.370483,peak,PD
6,17.181396,peak,PD
7,15.014648,peak,PD
8,21.255493,peak,PD
9,16.952515,peak,PD
10,27.155762,peak,PD
11,21.784668,peak,PD
12,-5.493164,peak,PD
13,-5.615234,peak,PD
14,-4.013062,peak,PD
15,-4.608154,peak,PD
0,-60.012817,minAHP,PD
1,-58.456421,minAHP,PD
2,-55.160522,minAHP,PD
3,-54.56543,minAHP,PD
4,-57.449341,minAHP,PD
5,-56.610107,minAHP,PD
6,-56.32019,minAHP,PD
7,-55.984497,minAHP,PD
8,-69.519043,minAHP,PD
9,-68.786621,minAHP,PD
10,-63.878174,minAHP,PD
11,-62.993164,minAHP,PD
12,-62.454224,minAHP,PD
13,-61.767578,minAHP,PD
14,-60.440063,minAHP,PD
15,-60.073853,minAHP,PD
0,-59.967041,threshold,PD
1,-33.676147,threshold,PD
2,-45.516968,threshold,PD
3,-38.787842,threshold,PD
4,-49.423218,threshold,PD
5,-41.275024,threshold,PD
6,-47.439575,threshold,PD
7,-39.489746,threshold,PD
8,-50.170898,threshold,PD
9,-46.417236,threshold,PD
10,-60.109253,threshold,PD
11,-43.00415,threshold,PD
12,-45.013428,threshold,PD
13,-43.47229,threshold,PD
14,-58.532715,threshold,PD
15,-41.45813,threshold,PD
0,3.8,TTP-peak,PD
1,0.8,TTP-peak,PD
2,0.8,TTP-peak,PD
3,0.9,TTP-peak,PD
4,0.9,TTP-peak,PD
5,0.8,TTP-peak,PD
6,0.9,TTP-peak,PD
7,0.8,TTP-peak,PD
8,0.5,TTP-peak,PD
9,0.5,TTP-peak,PD
10,2.9,TTP-peak,PD
11,0.5,TTP-peak,PD
12,0.4,TTP-peak,PD
13,0.4,TTP-peak,PD
14,2.4,TTP-peak,PD
15,0.4,TTP-peak,PD
0,2.6,TTP-AHP,PD
1,3.0,TTP-AHP,PD
2,3.7,TTP-AHP,PD
3,3.6,TTP-AHP,PD
4,3.5,TTP-AHP,PD
5,3.6,TTP-AHP,PD
6,4.5,TTP-AHP,PD
7,4.5,TTP-AHP,PD
8,1.2,TTP-AHP,PD
9,1.3,TTP-AHP,PD
10,1.1,TTP-AHP,PD
11,1.5,TTP-AHP,PD
12,2.0,TTP-AHP,PD
13,2.0,TTP-AHP,PD
14,1.6,TTP-AHP,PD
15,1.7,TTP-AHP,PD
0,89.813232,amplitude,PD
1,54.870605,amplitude,PD
2,69.18334999999999,amplitude,PD
3,58.731079,amplitude,PD
4,73.165894,amplitude,PD
5,61.645507,amplitude,PD
6,64.620971,amplitude,PD
7,54.504394,amplitude,PD
8,71.426391,amplitude,PD
9,63.369751,amplitude,PD
10,87.265015,amplitude,PD
11,64.788818,amplitude,PD
12,39.520264,amplitude,PD
13,37.857056,amplitude,PD
14,54.519653000000005,amplitude,PD
15,36.849976,amplitude,PD
0,0.9432000000000004,width,PD
1,0.8621000000000002,width,PD
2,1.1566000000000003,width,PD
3,1.1666000000000003,width,PD
4,1.1969999999999998,width,PD
5,1.1559000000000006,width,PD
6,1.2708,width,PD
7,1.1878,width,PD
8,0.4283999999999999,width,PD
9,0.4487000000000001,width,PD
10,0.4798999999999999,width,PD
11,0.4579999999999998,width,PD
12,0.4929000000000002,width,PD
13,0.5009000000000001,width,PD
14,0.6326999999999998,width,PD
15,0.489,width,PD
0,34.24292,peak,Intact
1,28.16992,peak,Intact
2,21.10889,peak,Intact
3,15.29529,peak,Intact
4,34.24292,peak,Intact
5,28.62769,peak,Intact
6,41.94263,peak,Intact
7,39.92847,peak,Intact
8,41.9884,peak,Intact
9,41.24072,peak,Intact
10,11.54761,peak,Intact
11,9.594482,peak,Intact
12,30.31592,peak,Intact
13,24.27344,peak,Intact
14,41.46252,peak,Intact
15,38.50232,peak,Intact
16,28.35901,peak,Intact
17,21.44678,peak,Intact
18,42.56116,peak,Intact
19,40.19604,peak,Intact
0,-57.85913,minAHP,Intact
1,-55.61609,minAHP,Intact
2,-60.83081,minAHP,Intact
3,-59.01501,minAHP,Intact
4,-57.88965,minAHP,Intact
5,-55.2804,minAHP,Intact
6,-55.88147,minAHP,Intact
7,-54.9812,minAHP,Intact
8,-55.30164,minAHP,Intact
9,-54.32507,minAHP,Intact
10,-65.7229,minAHP,Intact
11,-64.91418,minAHP,Intact
12,-67.08093,minAHP,Intact
13,-65.96704,minAHP,Intact
14,-56.39209,minAHP,Intact
15,-55.76648,minAHP,Intact
16,-58.79919,minAHP,Intact
17,-57.65479,minAHP,Intact
18,-55.52234,minAHP,Intact
19,-55.2782,minAHP,Intact
0,-49.74146,threshold,Intact
1,-44.85864,threshold,Intact
2,-55.90222,threshold,Intact
3,-47.21997,threshold,Intact
4,-50.99268,threshold,Intact
5,-46.06409,threshold,Intact
6,-45.58179,threshold,Intact
7,-41.81287,threshold,Intact
8,-45.93274,threshold,Intact
9,-42.01123,threshold,Intact
10,-58.81067,threshold,Intact
11,-55.08752,threshold,Intact
12,-58.03247,threshold,Intact
13,-53.36328,threshold,Intact
14,-46.65698,threshold,Intact
15,-43.87988,threshold,Intact
16,-53.53491,threshold,Intact
17,-47.14148,threshold,Intact
18,-45.95508,threshold,Intact
19,-42.81177,threshold,Intact
0,0.6,TTP-peak,Intact
1,0.7,TTP-peak,Intact
2,0.7,TTP-peak,Intact
3,0.8,TTP-peak,Intact
4,0.7,TTP-peak,Intact
5,0.7,TTP-peak,Intact
6,0.5,TTP-peak,Intact
7,0.5,TTP-peak,Intact
8,0.5,TTP-peak,Intact
9,0.5,TTP-peak,Intact
10,0.8,TTP-peak,Intact
11,0.8,TTP-peak,Intact
12,0.6,TTP-peak,Intact
13,0.7,TTP-peak,Intact
14,0.6,TTP-peak,Intact
15,0.7,TTP-peak,Intact
16,0.7,TTP-peak,Intact
17,0.8,TTP-peak,Intact
18,0.6,TTP-peak,Intact
19,0.6,TTP-peak,Intact
0,4.2,TTP-AHP,Intact
1,5.0,TTP-AHP,Intact
2,5.0,TTP-AHP,Intact
3,5.0,TTP-AHP,Intact
4,4.8,TTP-AHP,Intact
5,4.7,TTP-AHP,Intact
6,3.5,TTP-AHP,Intact
7,4.9,TTP-AHP,Intact
8,3.2,TTP-AHP,Intact
9,5.0,TTP-AHP,Intact
10,3.3,TTP-AHP,Intact
11,5.0,TTP-AHP,Intact
12,4.2,TTP-AHP,Intact
13,5.0,TTP-AHP,Intact
14,3.6,TTP-AHP,Intact
15,4.6,TTP-AHP,Intact
16,4.8,TTP-AHP,Intact
17,5.0,TTP-AHP,Intact
18,3.7,TTP-AHP,Intact
19,4.8,TTP-AHP,Intact
0,83.98437999999999,amplitude,Intact
1,73.02856,amplitude,Intact
2,77.01111,amplitude,Intact
3,62.515260000000005,amplitude,Intact
4,85.2356,amplitude,Intact
5,74.69178,amplitude,Intact
6,87.52441999999999,amplitude,Intact
7,81.74134,amplitude,Intact
8,87.92114000000001,amplitude,Intact
9,83.25195,amplitude,Intact
10,70.35828000000001,amplitude,Intact
11,64.682002,amplitude,Intact
12,88.34839,amplitude,Intact
13,77.63672,amplitude,Intact
14,88.11949999999999,amplitude,Intact
15,82.3822,amplitude,Intact
16,81.89392000000001,amplitude,Intact
17,68.58826,amplitude,Intact
18,88.51624000000001,amplitude,Intact
19,83.00781,amplitude,Intact
0,1.2049999999999996,width,Intact
1,1.3754999999999995,width,Intact
2,1.3571999999999995,width,Intact
3,1.5578999999999994,width,Intact
4,1.2303999999999995,width,Intact
5,1.3939,width,Intact
6,0.8101000000000007,width,Intact
7,0.8191999999999999,width,Intact
8,0.8043,width,Intact
9,0.8003,width,Intact
10,1.2267000000000003,width,Intact
11,1.2842000000000005,width,Intact
12,1.0954000000000002,width,Intact
13,1.1988,width,Intact
14,1.0426000000000002,width,Intact
15,1.0958000000000006,width,Intact
16,1.2910000000000004,width,Intact
17,1.4976000000000007,width,Intact
18,1.0375,width,Intact
19,1.0805999999999998,width,Intact
