,Feature value,Feature name,Type
0,29.846191,peak,PD
1,23.666382,peak,PD
2,23.742676,peak,PD
3,17.181396,peak,PD
4,21.255493,peak,PD
5,27.155762,peak,PD
6,-5.493164,peak,PD
7,-4.013062,peak,PD
0,-60.012817,minAHP,PD
1,-55.160522,minAHP,PD
2,-57.449341,minAHP,PD
3,-56.32019,minAHP,PD
4,-69.519043,minAHP,PD
5,-63.878174,minAHP,PD
6,-62.454224,minAHP,PD
7,-60.440063,minAHP,PD
0,-59.967041,threshold,PD
1,-45.516968,threshold,PD
2,-49.423218,threshold,PD
3,-47.439575,threshold,PD
4,-50.170898,threshold,PD
5,-60.109253,threshold,PD
6,-45.013428,threshold,PD
7,-58.532715,threshold,PD
0,3.8,TTP-peak,PD
1,0.8,TTP-peak,PD
2,0.9,TTP-peak,PD
3,0.9,TTP-peak,PD
4,0.5,TTP-peak,PD
5,2.9,TTP-peak,PD
6,0.4,TTP-peak,PD
7,2.4,TTP-peak,PD
0,2.6,TTP-AHP,PD
1,3.7,TTP-AHP,PD
2,3.5,TTP-AHP,PD
3,4.5,TTP-AHP,PD
4,1.2,TTP-AHP,PD
5,1.1,TTP-AHP,PD
6,2.0,TTP-AHP,PD
7,1.6,TTP-AHP,PD
0,89.813232,amplitude,PD
1,69.18334999999999,amplitude,PD
2,73.165894,amplitude,PD
3,64.620971,amplitude,PD
4,71.426391,amplitude,PD
5,87.265015,amplitude,PD
6,39.520264,amplitude,PD
7,54.519653000000005,amplitude,PD
0,0.9432000000000004,width,PD
1,1.1566000000000003,width,PD
2,1.1969999999999998,width,PD
3,1.2708,width,PD
4,0.4283999999999999,width,PD
5,0.4798999999999999,width,PD
6,0.4929000000000002,width,PD
7,0.6326999999999998,width,PD
0,3.2,1st_latency,PD
1,2.0,1st_latency,PD
2,2.5,1st_latency,PD
3,3.7,1st_latency,PD
4,3.5,1st_latency,PD
5,2.4,1st_latency,PD
6,3.4,1st_latency,PD
7,2.6,1st_latency,PD
0,34.24292,peak,Intact
1,21.10889,peak,Intact
2,34.24292,peak,Intact
3,41.94263,peak,Intact
4,41.9884,peak,Intact
5,11.54761,peak,Intact
6,30.31592,peak,Intact
7,41.46252,peak,Intact
8,28.35901,peak,Intact
9,42.56116,peak,Intact
0,-57.85913,minAHP,Intact
1,-60.83081,minAHP,Intact
2,-57.88965,minAHP,Intact
3,-55.88147,minAHP,Intact
4,-55.30164,minAHP,Intact
5,-65.7229,minAHP,Intact
6,-67.08093,minAHP,Intact
7,-56.39209,minAHP,Intact
8,-58.79919,minAHP,Intact
9,-55.52234,minAHP,Intact
0,-49.74146,threshold,Intact
1,-55.90222,threshold,Intact
2,-50.99268,threshold,Intact
3,-45.58179,threshold,Intact
4,-45.93274,threshold,Intact
5,-58.81067,threshold,Intact
6,-58.03247,threshold,Intact
7,-46.65698,threshold,Intact
8,-53.53491,threshold,Intact
9,-45.95508,threshold,Intact
0,0.6,TTP-peak,Intact
1,0.7,TTP-peak,Intact
2,0.7,TTP-peak,Intact
3,0.5,TTP-peak,Intact
4,0.5,TTP-peak,Intact
5,0.8,TTP-peak,Intact
6,0.6,TTP-peak,Intact
7,0.6,TTP-peak,Intact
8,0.7,TTP-peak,Intact
9,0.6,TTP-peak,Intact
0,4.2,TTP-AHP,Intact
1,5.0,TTP-AHP,Intact
2,4.8,TTP-AHP,Intact
3,3.5,TTP-AHP,Intact
4,3.2,TTP-AHP,Intact
5,3.3,TTP-AHP,Intact
6,4.2,TTP-AHP,Intact
7,3.6,TTP-AHP,Intact
8,4.8,TTP-AHP,Intact
9,3.7,TTP-AHP,Intact
0,83.98437999999999,amplitude,Intact
1,77.01111,amplitude,Intact
2,85.2356,amplitude,Intact
3,87.52441999999999,amplitude,Intact
4,87.92114000000001,amplitude,Intact
5,70.35828000000001,amplitude,Intact
6,88.34839,amplitude,Intact
7,88.11949999999999,amplitude,Intact
8,81.89392000000001,amplitude,Intact
9,88.51624000000001,amplitude,Intact
0,1.2049999999999996,width,Intact
1,1.3571999999999995,width,Intact
2,1.2303999999999995,width,Intact
3,0.8101000000000007,width,Intact
4,0.8043,width,Intact
5,1.2267000000000003,width,Intact
6,1.0954000000000002,width,Intact
7,1.0426000000000002,width,Intact
8,1.2910000000000004,width,Intact
9,1.0375,width,Intact
0,20.5,1st_latency,Intact
1,8.6,1st_latency,Intact
2,17.3,1st_latency,Intact
3,30.1,1st_latency,Intact
4,29.5,1st_latency,Intact
5,8.8,1st_latency,Intact
6,11.2,1st_latency,Intact
7,26.6,1st_latency,Intact
8,8.9,1st_latency,Intact
9,21.7,1st_latency,Intact
