,Unnamed: 0,file_name,spike_number,peak,minAHP,threshold,TTP-peak,TTP-AHP,amplitude,width,1st_latency,Type
1,1,./Data/Intact/N1.txt,2,28.16992,-55.61609,-44.85864,0.7,5.0,73.02856,1.3754999999999995,,Intact
7,7,./Data/Intact/N10.txt,2,15.29529,-59.01501,-47.21997,0.8,5.0,62.515260000000005,1.5578999999999994,,Intact
12,12,./Data/Intact/N2.txt,2,28.62769,-55.2804,-46.06409,0.7,4.7,74.69178,1.3939,,Intact
18,18,./Data/Intact/N3.txt,2,39.92847,-54.9812,-41.81287,0.5,4.9,81.74134,0.8191999999999999,,Intact
23,23,./Data/Intact/N4.txt,2,41.24072,-54.32507,-42.01123,0.5,5.0,83.25195,0.8003,,Intact
28,28,./Data/Intact/N5.txt,2,9.594482,-64.91418,-55.08752,0.8,5.0,64.682002,1.2842000000000005,,Intact
34,34,./Data/Intact/N6.txt,2,24.27344,-65.96704,-53.36328,0.7,5.0,77.63672,1.1988,,Intact
39,39,./Data/Intact/N7.txt,2,38.50232,-55.76648,-43.87988,0.7,4.6,82.3822,1.0958000000000006,,Intact
44,44,./Data/Intact/N8.txt,2,21.44678,-57.65479,-47.14148,0.8,5.0,68.58826,1.4976000000000007,,Intact
49,49,./Data/Intact/N9.txt,2,40.19604,-55.2782,-42.81177,0.6,4.8,83.00781,1.0805999999999998,,Intact
