,Unnamed: 0,file_name,spike_number,peak,minAHP,threshold,TTP-peak,TTP-AHP,amplitude,width,1st_latency,Type
0,0,./Data/Intact/N1.txt,1,34.24292,-57.85913,-49.74146,0.6,4.2,83.98437999999999,1.2049999999999996,20.5,Intact
1,1,./Data/Intact/N1.txt,2,28.16992,-55.61609,-44.85864,0.7,5.0,73.02856,1.3754999999999995,,Intact
2,2,./Data/Intact/N1.txt,3,27.07129,-55.47876,-44.20251,0.7,5.0,71.2738,1.4397,,Intact
6,6,./Data/Intact/N10.txt,1,21.10889,-60.83081,-55.90222,0.7,5.0,77.01111,1.3571999999999995,8.6,Intact
7,7,./Data/Intact/N10.txt,2,15.29529,-59.01501,-47.21997,0.8,5.0,62.515260000000005,1.5578999999999994,,Intact
8,8,./Data/Intact/N10.txt,3,16.30237,-58.48096,-45.03796,0.8,4.9,61.34033,1.5912000000000006,,Intact
11,11,./Data/Intact/N2.txt,1,34.24292,-57.88965,-50.99268,0.7,4.8,85.2356,1.2303999999999995,17.3,Intact
12,12,./Data/Intact/N2.txt,2,28.62769,-55.2804,-46.06409,0.7,4.7,74.69178,1.3939,,Intact
13,13,./Data/Intact/N2.txt,3,26.76611,-54.38013,-45.01123,0.8,4.8,71.77734,1.4907000000000004,,Intact
17,17,./Data/Intact/N3.txt,1,41.94263,-55.88147,-45.58179,0.5,3.5,87.52441999999999,0.8101000000000007,30.1,Intact
18,18,./Data/Intact/N3.txt,2,39.92847,-54.9812,-41.81287,0.5,4.9,81.74134,0.8191999999999999,,Intact
19,19,./Data/Intact/N3.txt,3,38.99768,-54.35559,-43.33875,0.6,5.0,82.33643000000001,0.8529000000000003,,Intact
22,22,./Data/Intact/N4.txt,1,41.9884,-55.30164,-45.93274,0.5,3.2,87.92114000000001,0.8043,29.5,Intact
23,23,./Data/Intact/N4.txt,2,41.24072,-54.32507,-42.01123,0.5,5.0,83.25195,0.8003,,Intact
24,24,./Data/Intact/N4.txt,3,39.82166,-53.9436,-43.30823,0.6,4.5,83.12989,0.8359000000000002,,Intact
27,27,./Data/Intact/N5.txt,1,11.54761,-65.7229,-58.81067,0.8,3.3,70.35828000000001,1.2267000000000003,8.8,Intact
28,28,./Data/Intact/N5.txt,2,9.594482,-64.91418,-55.08752,0.8,5.0,64.682002,1.2842000000000005,,Intact
29,29,./Data/Intact/N5.txt,3,9.548706,-63.75452,-55.59106,0.9,4.5,65.139766,1.3039000000000005,,Intact
33,33,./Data/Intact/N6.txt,1,30.31592,-67.08093,-58.03247,0.6,4.2,88.34839,1.0954000000000002,11.2,Intact
34,34,./Data/Intact/N6.txt,2,24.27344,-65.96704,-53.36328,0.7,5.0,77.63672,1.1988,,Intact
35,35,./Data/Intact/N6.txt,3,23.05273,-65.58557,-53.04285,0.7,5.0,76.09558,1.2666000000000004,,Intact
38,38,./Data/Intact/N7.txt,1,41.46252,-56.39209,-46.65698,0.6,3.6,88.11949999999999,1.0426000000000002,26.6,Intact
39,39,./Data/Intact/N7.txt,2,38.50232,-55.76648,-43.87988,0.7,4.6,82.3822,1.0958000000000006,,Intact
40,40,./Data/Intact/N7.txt,3,39.18896,-55.18665,-43.52893,0.6,4.8,82.71789000000001,1.1036,,Intact
43,43,./Data/Intact/N8.txt,1,28.35901,-58.79919,-53.53491,0.7,4.8,81.89392000000001,1.2910000000000004,8.9,Intact
44,44,./Data/Intact/N8.txt,2,21.44678,-57.65479,-47.14148,0.8,5.0,68.58826,1.4976000000000007,,Intact
45,45,./Data/Intact/N8.txt,3,22.39282,-56.47986,-46.33276,0.9,5.0,68.72558000000001,1.5238999999999996,,Intact
48,48,./Data/Intact/N9.txt,1,42.56116,-55.52234,-45.95508,0.6,3.7,88.51624000000001,1.0375,21.7,Intact
49,49,./Data/Intact/N9.txt,2,40.19604,-55.2782,-42.81177,0.6,4.8,83.00781,1.0805999999999998,,Intact
50,50,./Data/Intact/N9.txt,3,40.04346,-54.56104,-41.48425,0.6,4.9,81.52771000000001,1.0899,,Intact
