,Unnamed: 0,file_name,spike_number,peak,minAHP,threshold,TTP-peak,TTP-AHP,amplitude,width,Type
0,0,./Data/PD/N1_PD.txt,1,29.846191,-60.012817,-59.967041,3.8,2.6,89.813232,0.9432000000000004,PD
1,1,./Data/PD/N1_PD.txt,2,21.194458,-58.456421,-33.676147,0.8,3.0,54.870605,0.8621000000000002,PD
2,2,./Data/PD/N1_PD.txt,3,16.677856,-57.418823,-33.52356,0.9,3.2,50.201416,0.9625999999999998,PD
11,11,./Data/PD/N2_PD.txt,1,23.666382,-55.160522,-45.516968,0.8,3.7,69.18334999999999,1.1566000000000003,PD
12,12,./Data/PD/N2_PD.txt,2,19.943237,-54.56543,-38.787842,0.9,3.6,58.731079,1.1666000000000003,PD
13,13,./Data/PD/N2_PD.txt,3,18.554688,-54.168701,-35.842896,0.8,4.2,54.397584,1.1384,PD
24,24,./Data/PD/N3_PD.txt,1,23.742676,-57.449341,-49.423218,0.9,3.5,73.165894,1.1969999999999998,PD
25,25,./Data/PD/N3_PD.txt,2,20.370483,-56.610107,-41.275024,0.8,3.6,61.645507,1.1559000000000006,PD
26,26,./Data/PD/N3_PD.txt,3,19.760132,-56.304932,-38.665771,0.8,3.6,58.425903,1.1454999999999995,PD
36,36,./Data/PD/N4_PD.txt,1,17.181396,-56.32019,-47.439575,0.9,4.5,64.620971,1.2708,PD
37,37,./Data/PD/N4_PD.txt,2,15.014648,-55.984497,-39.489746,0.8,4.5,54.504394,1.1878,PD
38,38,./Data/PD/N4_PD.txt,3,14.373779,-55.053711,-39.169312,0.8,4.1000000000000005,53.543091,1.2201,PD
47,47,./Data/PD/N5_PD.txt,1,21.255493,-69.519043,-50.170898,0.5,1.2,71.426391,0.4283999999999999,PD
48,48,./Data/PD/N5_PD.txt,2,16.952515,-68.786621,-46.417236,0.5,1.3,63.369751,0.4487000000000001,PD
49,49,./Data/PD/N5_PD.txt,3,15.884399,-67.962646,-46.37146,0.5,1.5,62.255859,0.4552999999999997,PD
66,66,./Data/PD/N6_PD.txt,1,27.155762,-63.878174,-60.109253,2.9,1.1,87.265015,0.4798999999999999,PD
67,67,./Data/PD/N6_PD.txt,2,21.784668,-62.993164,-43.00415,0.5,1.5,64.788818,0.4579999999999998,PD
68,68,./Data/PD/N6_PD.txt,3,20.731812,-62.550659,-40.669556,0.5,1.6,61.401368000000005,0.4631999999999998,PD
89,89,./Data/PD/N7_PD.txt,1,-5.493164,-62.454224,-45.013428,0.4,2.0,39.520264,0.4929000000000002,PD
90,90,./Data/PD/N7_PD.txt,2,-5.615234,-61.767578,-43.47229,0.4,2.0,37.857056,0.5009000000000001,PD
91,91,./Data/PD/N7_PD.txt,3,-5.706787,-61.599731,-43.136597,0.4,2.4,37.42981,0.5040999999999998,PD
105,105,./Data/PD/N8_PD.txt,1,-4.013062,-60.440063,-58.532715,2.4,1.6,54.519653000000005,0.6326999999999998,PD
106,106,./Data/PD/N8_PD.txt,2,-4.608154,-60.073853,-41.45813,0.4,1.7,36.849976,0.489,PD
107,107,./Data/PD/N8_PD.txt,3,-4.776001,-60.119629,-42.739868,0.5,1.8,37.963867,0.5128999999999997,PD
