Feature Value,Feature name,type
0.00015734,spike_width,PD
0.00017242,spike_width,PD
0.00019252,spike_width,PD
0.00023132,spike_width,PD
0.00023332,spike_width,PD
0.00022768,spike_width,PD
0.0002394,spike_width,PD
0.00023118,spike_width,PD
0.0002291,spike_width,PD
0.00025416,spike_width,PD
0.00023756,spike_width,PD
0.00024402,spike_width,PD
8.57E-05,spike_width,PD
8.97E-05,spike_width,PD
9.11E-05,spike_width,PD
8.36E-05,spike_width,PD
9.16E-05,spike_width,PD
9.26E-05,spike_width,PD
9.86E-05,spike_width,PD
0.00010018,spike_width,PD
0.00010082,spike_width,PD
9.82E-05,spike_width,PD
9.78E-05,spike_width,PD
0.00010258,spike_width,PD
70.480346,amplitude,PD
54.870605,amplitude,PD
50.201416,amplitude,PD
69.18335,amplitude,PD
58.731079,amplitude,PD
54.397584,amplitude,PD
73.165894,amplitude,PD
61.645507,amplitude,PD
58.425903,amplitude,PD
64.620971,amplitude,PD
54.504394,amplitude,PD
53.543091,amplitude,PD
71.426391,amplitude,PD
63.369751,amplitude,PD
62.255859,amplitude,PD
71.121216,amplitude,PD
64.788818,amplitude,PD
61.401368,amplitude,PD
39.520264,amplitude,PD
37.857056,amplitude,PD
37.42981,amplitude,PD
38.528442,amplitude,PD
36.849976,amplitude,PD
37.963867,amplitude,PD
0.00052,TTP_AHP,PD
0.0006,TTP_AHP,PD
0.00064,TTP_AHP,PD
0.00074,TTP_AHP,PD
0.00072,TTP_AHP,PD
0.00084,TTP_AHP,PD
0.0007,TTP_AHP,PD
0.00072,TTP_AHP,PD
0.00072,TTP_AHP,PD
0.0009,TTP_AHP,PD
0.0009,TTP_AHP,PD
0.00082,TTP_AHP,PD
0.00024,TTP_AHP,PD
0.00026,TTP_AHP,PD
0.0003,TTP_AHP,PD
0.00022,TTP_AHP,PD
0.0003,TTP_AHP,PD
0.00032,TTP_AHP,PD
0.0004,TTP_AHP,PD
0.0004,TTP_AHP,PD
0.00048,TTP_AHP,PD
0.00032,TTP_AHP,PD
0.00034,TTP_AHP,PD
0.00036,TTP_AHP,PD
0.00016,TTP_max,PD
0.00016,TTP_max,PD
0.00018,TTP_max,PD
0.00016,TTP_max,PD
0.00018,TTP_max,PD
0.00016,TTP_max,PD
0.00018,TTP_max,PD
0.00016,TTP_max,PD
0.00016,TTP_max,PD
0.00018,TTP_max,PD
0.00016,TTP_max,PD
0.00016,TTP_max,PD
0.0001,TTP_max,PD
0.0001,TTP_max,PD
0.0001,TTP_max,PD
8.00E-05,TTP_max,PD
0.0001,TTP_max,PD
0.0001,TTP_max,PD
8.00E-05,TTP_max,PD
8.00E-05,TTP_max,PD
8.00E-05,TTP_max,PD
8.00E-05,TTP_max,PD
8.00E-05,TTP_max,PD
0.0001,TTP_max,PD
-40.634155,threshold,PD
-33.676147,threshold,PD
-33.52356,threshold,PD
-45.516968,threshold,PD
-38.787842,threshold,PD
-35.842896,threshold,PD
-49.423218,threshold,PD
-41.275024,threshold,PD
-38.665771,threshold,PD
-47.439575,threshold,PD
-39.489746,threshold,PD
-39.169312,threshold,PD
-50.170898,threshold,PD
-46.417236,threshold,PD
-46.37146,threshold,PD
-43.965454,threshold,PD
-43.00415,threshold,PD
-40.669556,threshold,PD
-45.013428,threshold,PD
-43.47229,threshold,PD
-43.136597,threshold,PD
-42.541504,threshold,PD
-41.45813,threshold,PD
-42.739868,threshold,PD
-60.012817,min_AHP,PD
-58.456421,min_AHP,PD
-57.418823,min_AHP,PD
-55.160522,min_AHP,PD
-54.56543,min_AHP,PD
-54.168701,min_AHP,PD
-57.449341,min_AHP,PD
-56.610107,min_AHP,PD
-56.304932,min_AHP,PD
-56.32019,min_AHP,PD
-55.984497,min_AHP,PD
-55.053711,min_AHP,PD
-69.519043,min_AHP,PD
-68.786621,min_AHP,PD
-67.962646,min_AHP,PD
-63.878174,min_AHP,PD
-62.993164,min_AHP,PD
-62.550659,min_AHP,PD
-62.454224,min_AHP,PD
-61.767578,min_AHP,PD
-61.599731,min_AHP,PD
-60.440063,min_AHP,PD
-60.073853,min_AHP,PD
-60.119629,min_AHP,PD
29.846191,max,PD
21.194458,max,PD
16.677856,max,PD
23.666382,max,PD
19.943237,max,PD
18.554688,max,PD
23.742676,max,PD
20.370483,max,PD
19.760132,max,PD
17.181396,max,PD
15.014648,max,PD
14.373779,max,PD
21.255493,max,PD
16.952515,max,PD
15.884399,max,PD
27.155762,max,PD
21.784668,max,PD
20.731812,max,PD
-5.493164,max,PD
-5.615234,max,PD
-5.706787,max,PD
-4.013062,max,PD
-4.608154,max,PD
-4.776001,max,PD
0.000241,spike_width,Intact
0.0002751,spike_width,Intact
0.00028794,spike_width,Intact
0.00027144,spike_width,Intact
0.00031158,spike_width,Intact
0.00031824,spike_width,Intact
0.00024608,spike_width,Intact
0.00027878,spike_width,Intact
0.00029814,spike_width,Intact
0.00016202,spike_width,Intact
0.00016384,spike_width,Intact
0.00017058,spike_width,Intact
0.00016086,spike_width,Intact
0.00016006,spike_width,Intact
0.00016718,spike_width,Intact
0.00024534,spike_width,Intact
0.00025684,spike_width,Intact
0.00026078,spike_width,Intact
0.00021908,spike_width,Intact
0.00023976,spike_width,Intact
0.00025332,spike_width,Intact
0.00020852,spike_width,Intact
0.00021916,spike_width,Intact
0.00022072,spike_width,Intact
0.0002582,spike_width,Intact
0.00029952,spike_width,Intact
0.00030478,spike_width,Intact
