,file_name,spike_number,max,min_AHP,threshold,TTP_max,TTP_AHP,amplitude,spike_width
0,./Data/Intact/N1.txt,1,34.24292,-57.85913,-49.74146,0.00012,0.00084,83.98437999999999,0.000241
1,./Data/Intact/N1.txt,2,28.16992,-55.61609,-44.85864,0.00014,0.001,73.02856,0.0002751
2,./Data/Intact/N1.txt,3,27.07129,-55.47876,-44.20251,0.00014,0.001,71.2738,0.00028794
3,./Data/Intact/N1.txt,4,27.02551,-54.70056,-44.90442,0.00016,0.00098,71.92993,0.00029973999999999995
4,./Data/Intact/N1.txt,5,26.56775,-53.86133,-43.88208,0.00016,0.00096,70.44983,0.00030284
5,./Data/Intact/N1.txt,6,25.34705,-53.51038,-43.43958,0.00016,0.00098,68.78663,0.00031368000000000005
6,./Data/Intact/N10.txt,1,21.10889,-60.83081,-55.90222,0.00014,0.001,77.01111,0.00027144
7,./Data/Intact/N10.txt,2,15.29529,-59.01501,-47.21997,0.00016,0.001,62.515260000000005,0.00031158
8,./Data/Intact/N10.txt,3,16.30237,-58.48096,-45.03796,0.00016,0.00098,61.340329999999994,0.00031823999999999996
9,./Data/Intact/N10.txt,4,16.83643,-57.35181,-45.44995,0.00016,0.001,62.28638,0.00032036
10,./Data/Intact/N10.txt,5,15.79883,-57.22974,-44.61072,0.00018,0.001,60.40955,0.00033664000000000003
11,./Data/Intact/N2.txt,1,34.24292,-57.88965,-50.99268,0.00014,0.00096,85.2356,0.00024608000000000003
12,./Data/Intact/N2.txt,2,28.62769,-55.2804,-46.06409,0.00014,0.00094,74.69178,0.00027878
13,./Data/Intact/N2.txt,3,26.76611,-54.38013,-45.01123,0.00016,0.00096,71.77734,0.00029814
14,./Data/Intact/N2.txt,4,25.65222,-53.80029,-42.73767,0.00016,0.001,68.38989000000001,0.00030528
15,./Data/Intact/N2.txt,5,26.38464,-53.64771,-43.74475,0.00016,0.001,70.12939,0.00030574
16,./Data/Intact/N2.txt,6,25.48438,-53.05261,-41.50171,0.00016,0.00096,66.98609,0.0003017
17,./Data/Intact/N3.txt,1,41.94263,-55.88147,-45.58179,0.0001,0.0007,87.52441999999999,0.00016201999999999997
18,./Data/Intact/N3.txt,2,39.92847,-54.9812,-41.81287,0.0001,0.00098,81.74134,0.00016384
19,./Data/Intact/N3.txt,3,38.99768,-54.35559,-43.33875,0.00012,0.001,82.33643000000001,0.00017058
20,./Data/Intact/N3.txt,4,38.06689,-53.77576,-42.02649,0.00012,0.00088,80.09338,0.00017004000000000005
21,./Data/Intact/N3.txt,5,37.36499,-53.79102,-40.63794,0.0001,0.00094,78.00292999999999,0.00017008000000000002
22,./Data/Intact/N4.txt,1,41.9884,-55.30164,-45.93274,0.0001,0.00064,87.92114000000001,0.00016085999999999997
23,./Data/Intact/N4.txt,2,41.24072,-54.32507,-42.01123,0.0001,0.001,83.25195,0.00016006
24,./Data/Intact/N4.txt,3,39.82166,-53.9436,-43.30823,0.00012,0.0009,83.12989,0.00016717999999999995
25,./Data/Intact/N4.txt,4,39.8064,-53.27222,-41.75183,0.0001,0.00096,81.55823,0.00016439999999999998
26,./Data/Intact/N4.txt,5,39.27234,-53.57739,-41.44666,0.00012,0.00096,80.719,0.00016612000000000002
27,./Data/Intact/N5.txt,1,11.54761,-65.7229,-58.81067,0.00016,0.00066,70.35828000000001,0.00024534000000000003
28,./Data/Intact/N5.txt,2,9.594482,-64.91418,-55.08752,0.00016,0.001,64.682002,0.00025684
29,./Data/Intact/N5.txt,3,9.548706,-63.75452,-55.59106,0.00018,0.0009,65.139766,0.00026078
30,./Data/Intact/N5.txt,4,9.441895,-62.88477,-55.19434,0.00018,0.00092,64.636235,0.00026220000000000003
31,./Data/Intact/N5.txt,5,9.151978,-62.86951,-54.14148,0.00016,0.001,63.293458,0.00026528
32,./Data/Intact/N5.txt,6,9.167236,-62.51855,-52.05103,0.00016,0.00096,61.218266,0.00025978
33,./Data/Intact/N6.txt,1,30.31592,-67.08093,-58.03247,0.00012,0.00084,88.34839,0.00021908000000000002
34,./Data/Intact/N6.txt,2,24.27344,-65.96704,-53.36328,0.00014,0.001,77.63672,0.00023976
35,./Data/Intact/N6.txt,3,23.05273,-65.58557,-53.04285,0.00014,0.001,76.09558,0.00025332
36,./Data/Intact/N6.txt,4,22.79333,-65.00574,-51.16602,0.00014,0.001,73.95935,0.0002478
37,./Data/Intact/N6.txt,5,21.61841,-64.80737,-49.85376,0.00014,0.001,71.47217,0.00025246000000000003
38,./Data/Intact/N7.txt,1,41.46252,-56.39209,-46.65698,0.00012,0.00072,88.11949999999999,0.00020851999999999996
39,./Data/Intact/N7.txt,2,38.50232,-55.76648,-43.87988,0.00014,0.00092,82.3822,0.00021915999999999995
40,./Data/Intact/N7.txt,3,39.18896,-55.18665,-43.52893,0.00012,0.00096,82.71789000000001,0.00022071999999999996
41,./Data/Intact/N7.txt,4,38.68542,-55.0188,-43.05591,0.00014,0.00096,81.74133,0.00022305999999999997
42,./Data/Intact/N7.txt,5,38.60913,-54.27112,-42.4303,0.00012,0.001,81.03943000000001,0.00022280000000000002
43,./Data/Intact/N8.txt,1,28.35901,-58.79919,-53.53491,0.00014,0.00096,81.89392000000001,0.0002582
